query_id,target_id,distance
270-01-01,270-05-05,0.0029388031916946834
270-01-01,270-28-03,0.0029584031282692685
270-01-01,270-26-04,0.003041604313166766
270-01-01,270-10-08,0.0030660156929287023
270-01-01,270-14-05,0.00307310227781187
270-01-01,270-25-04,0.00307494878121749
270-01-01,270-20-05,0.003087805801010843
270-01-01,270-21-04,0.003088590029677877
270-01-01,270-26-01,0.0030894719468610487
270-01-01,270-08-05,0.003100005443515584
270-01-01,270-08-03,0.003123819069513859
270-01-01,270-12-03,0.00312882314350775
270-01-01,270-05-07,0.003134929181693044
270-01-01,270-07-01,0.0031380660474777233
270-01-01,270-33-05,0.003159788688870303
270-01-01,270-05-04,0.0031665584461612463
270-01-01,270-07-07,0.0031735699551987038
270-01-01,270-24-07,0.0031773877276669296
270-01-01,270-10-02,0.003189394576228337
270-01-01,270-07-03,0.0031914320720098305
270-01-01,270-03-01,0.0032013496241908982
270-01-01,270-27-06,0.003201859747580181
270-01-01,270-05-06,0.003203690202300433
270-01-01,270-30-07,0.0032110182733357745
270-01-01,270-31-06,0.003223510841015083
270-01-01,270-31-07,0.0032264532668772852
270-01-01,270-08-06,0.0032289158266649845
270-01-01,270-19-09,0.0032338569176771064
270-01-01,270-32-05,0.003241846123481394
270-01-01,270-28-01,0.003242648897406145
270-01-01,270-10-07,0.003243608796932467
270-01-01,270-22-04,0.0032460743890522364
270-01-01,270-04-02,0.0032552781511295116
270-01-01,270-33-06,0.0032573036571453967
270-01-01,270-25-01,0.0032593741606555325
270-01-01,270-06-04,0.003264055983708253
270-01-01,270-22-05,0.0032652217479134014
270-01-01,270-30-03,0.0032700308851390403
270-01-01,270-22-08,0.0032781766131440328
270-01-01,270-23-05,0.0032879982828931454
270-01-01,270-05-03,0.003291267090823894
270-01-01,270-05-09,0.0032954807766961756
270-01-01,270-01-02,0.003298265489382586
270-01-01,270-19-07,0.003299466647298961
270-01-01,270-19-06,0.003301193910747804
270-01-01,270-09-06,0.003303261915233589
270-01-01,270-31-09,0.003310843881352742
270-01-01,270-24-06,0.0033128758922002953
270-01-01,270-25-03,0.0033146112815726192
270-01-01,270-22-06,0.0033164943228388187
270-01-01,270-07-04,0.003317370139713669
270-01-01,270-25-05,0.0033174207654729513
270-01-01,270-29-03,0.003325867669941437
270-01-01,270-06-01,0.0033273594191731643
270-01-01,270-04-07,0.0033274782299604127
270-01-01,270-12-02,0.0033343276884578448
270-01-01,270-19-10,0.0033378960010580403
270-01-01,270-27-05,0.003342027588451884
270-01-01,270-21-06,0.0033512863060326283
270-01-01,270-17-02,0.003353613818735032
270-01-01,270-17-04,0.0033594265475004317
270-01-01,270-19-08,0.0033621562892882408
270-01-01,270-03-07,0.003362258866427759
270-01-01,270-04-01,0.003369112646923052
270-01-01,270-33-07,0.003370286259934673
270-01-01,270-10-06,0.003376484833539955
270-01-01,270-31-02,0.003376645124194166
270-01-01,270-10-03,0.003378796359392883
270-01-01,270-03-03,0.0033790502496322105
270-01-01,270-01-03,0.0033884323840920934
270-01-01,270-04-03,0.0033890343469715842
270-01-01,270-23-04,0.0033907659204543755
270-01-01,270-14-04,0.0033921966283849076
270-01-01,270-01-07,0.003393482803337173
270-01-01,270-20-06,0.0033981292805293863
270-01-01,270-12-01,0.003411977936537333
270-01-01,270-26-06,0.0034164700949310244
270-01-01,270-25-06,0.003419849618840087
270-01-01,270-33-03,0.0034213015420201205
270-01-01,270-07-02,0.0034246633010994545
270-01-01,270-24-01,0.0034289486218775857
270-01-01,270-33-02,0.0034325851269767574
270-01-01,270-25-02,0.0034330688413931006
270-01-01,270-07-08,0.0034340186179277494
270-01-01,270-28-04,0.0034347012421396517
270-01-01,270-22-09,0.003435784743724812
270-01-01,270-20-08,0.003441649901186956
270-01-01,270-19-02,0.003445612739943963
270-01-01,270-14-03,0.0034469827892355995
270-01-01,270-11-03,0.003453943013244077
270-01-01,270-04-06,0.0034544693409997444
270-01-01,270-10-01,0.003455948721386053
270-01-01,270-14-02,0.003457234247333771
270-01-01,270-28-05,0.0034586161147116055
270-01-01,270-18-06,0.003460521200915919
270-01-01,270-33-04,0.003461975280636981
270-01-01,270-32-01,0.0034619889650952056
270-01-01,270-10-04,0.0034669009161602416
270-01-01,270-04-04,0.0034675131130823805
270-01-01,270-15-01,0.003473527131283113
270-01-01,270-01-06,0.0034750337023989925
270-01-01,270-23-03,0.003476731911440911
270-01-01,270-03-08,0.003478778210767275
270-01-01,270-04-08,0.0034795294381838667
270-01-01,270-24-04,0.003484266192300898
270-01-01,270-08-02,0.0034856209781888637
270-01-01,270-31-08,0.003490083087004088
270-01-01,270-15-02,0.003492601036804094
270-01-01,270-33-08,0.0034930521036761713
270-01-01,270-09-01,0.0034934702904449565
270-01-01,270-23-01,0.003494876821826488
270-01-01,270-27-03,0.0034948975288200622
270-01-01,270-27-01,0.0034973465157506615
270-01-01,270-26-03,0.003499407567751979
270-01-01,270-22-01,0.0034998307536289394
270-01-01,270-03-02,0.003501605924364406
270-01-01,270-03-06,0.0035021931029661085
270-01-01,270-32-08,0.0035062295970453685
270-01-01,270-17-05,0.0035092026802405413
270-01-01,270-27-07,0.0035108736285796066
270-01-01,270-25-09,0.0035129972929181207
270-01-01,270-09-02,0.003514867675971565
270-01-01,270-31-01,0.003515825590757836
270-01-01,270-22-02,0.0035191654018357672
270-01-01,270-29-04,0.0035213123410134054
270-01-01,270-17-01,0.003522944546019716
270-01-01,270-26-07,0.0035257369947464382
270-01-01,270-08-01,0.0035294239476689757
270-01-01,270-24-03,0.0035309225124541916
270-01-01,270-07-06,0.003536060480907032
270-01-01,270-20-03,0.003537160460593893
270-01-01,270-10-09,0.003538063719534778
270-01-01,270-32-02,0.0035398009586885106
270-01-01,270-17-03,0.003540939963431506
270-01-01,270-23-02,0.0035424125591777917
270-01-01,270-08-07,0.003542861133867747
270-01-01,270-08-04,0.0035450037152624336
270-01-01,270-31-05,0.0035551275373113364
270-01-01,270-30-02,0.00355656626300941
270-01-01,270-21-07,0.003559432173200164
270-01-01,270-31-04,0.003567153234370851
270-01-01,270-09-03,0.0035727273162481387
270-01-01,270-11-05,0.003579443978894972
270-01-01,270-14-01,0.0035839037171591266
270-01-01,270-33-09,0.003588242333051535
270-01-01,270-18-04,0.003593257399088201
270-01-01,270-22-07,0.00359413747866144
270-01-01,270-19-05,0.003597615471805469
270-01-01,270-25-07,0.003597644391388787
270-01-01,270-22-03,0.003597712075122746
270-01-01,270-21-05,0.0036001322691177166
270-01-01,270-16-05,0.003602947444839678
270-01-01,270-19-03,0.0036034391527527522
270-01-01,270-21-02,0.003608593213358259
270-01-01,270-19-01,0.0036103487284928877
270-01-01,270-23-06,0.003612353102203841
270-01-01,270-24-09,0.0036130275839280452
270-01-01,270-16-01,0.0036182889930534263
270-01-01,270-30-04,0.0036192899310417102
270-01-01,270-06-06,0.0036207450805176163
270-01-01,270-32-03,0.003620873891495016
270-01-01,270-16-02,0.0036209450759673648
270-01-01,270-18-01,0.003625573348402769
270-01-01,270-11-01,0.003625890668119487
270-01-01,270-24-08,0.0036281446882525455
270-01-01,270-11-04,0.0036323574754531895
270-01-01,270-29-01,0.003634440523514555
270-01-01,270-01-05,0.003639556863395772
270-01-01,270-18-05,0.0036436017942845554
270-01-01,270-04-05,0.0036495507593996444
270-01-01,270-06-05,0.0036512017750524157
270-01-01,270-20-01,0.0036546229463263395
270-01-01,270-28-08,0.0036642024301065637
270-01-01,270-32-06,0.003666249488303461
270-01-01,270-20-04,0.003669010332024679
270-01-01,270-05-02,0.0036692766759330985
270-01-01,270-28-07,0.003673125469299872
270-01-01,270-05-08,0.00367970530089237
270-01-01,270-18-02,0.0036803163998570796
270-01-01,270-26-05,0.00368740329712643
270-01-01,270-26-02,0.003690247026585854
270-01-01,270-05-01,0.0037010400178624967
270-01-01,270-11-02,0.003703734685626081
270-01-01,270-25-08,0.0037042076977768447
270-01-01,270-01-04,0.0037060904111405582
270-01-01,270-28-02,0.00371500807383135
270-01-01,270-32-07,0.003726022584790473
270-01-01,270-29-05,0.0037350168942001725
270-01-01,270-27-04,0.0037436177453537664
270-01-01,270-18-03,0.0037680183419253315
270-01-01,270-20-07,0.003771136332282717
270-01-01,270-29-02,0.003775499579711724
270-01-01,270-06-02,0.0037808197680643386
270-01-01,270-03-04,0.0037821143790347828
270-01-01,270-09-04,0.0037846015743564472
270-01-01,270-09-05,0.003784765883673869
270-01-01,270-16-03,0.003791646070372862
270-01-01,270-06-03,0.003796132702203993
270-01-01,270-07-05,0.003803768198243826
270-01-01,270-31-03,0.0038065310069950757
270-01-01,270-24-05,0.0038214914927996546
270-01-01,270-20-02,0.0038297996589280923
270-01-01,270-30-08,0.00384156934066241
270-01-01,270-30-01,0.0038416770179022894
270-01-01,270-31-10,0.0038476671383835745
270-01-01,270-03-05,0.0038539460272873425
270-01-01,270-21-01,0.0038591830590090485
270-01-01,270-29-06,0.003871710906023656
270-01-01,270-30-06,0.003872702953410278
270-01-01,270-21-03,0.003904445805786539
